Name,  Ordered Qty,  Placed Qty,  Weight,  Gross,  Material,  Thickness, Length , Width, Area,,,,
---------------------------------------------------------------------------------------------------------,,,,,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BT.041.01.CB.DFT,  2,  2,  0.86,  0.86,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  718 ,  78.3, 0.056 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CH.001.01.CB.DFT,  2,  2,  4.72,  4.72,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1448.5 ,  237.3, 0.309 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CH.002.01.CB.DFT,  2,  2,  4.72,  4.72,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1451.3 ,  237.3, 0.309 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CH.025.01.CB1941.DFT,  1,  1,  12.87,  12.87,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1600 ,  562.2, 0.841 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CH.026.01.CB.DFT,  1,  1,  3.40,  3.4,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1600 ,  202.5, 0.222 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CH.062.01.CB.DFT,  1,  1,  4.87,  4.87,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1666.9 ,  197.1, 0.318 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.FE.025.01.BD.DFT,  1,  1,  0.98,  0.98,  ACO NBR 7008 ZC,  0.95,  1520 ,  90, 0.131 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.FI.023.01.BB.DFT,  1,  1,  12.28,  12.28,  ACO NBR 7008 ZC,  1.95,  1622.4 ,  497.4, 0.802 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.TL.014.01.CB.DFT,  2,  2,  22.32,  22.32,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1674.8 ,  884.8, 1.458 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.FE.016.01.CB.DFT,  2,  2,  22.96,  22.96,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2117.4 ,  709.9, 1.5 M²,,,,
